date,title,content,position,loss_ratio
2023-09-12,['【金融街发布】交易商协会：进一步规范银行间市场货币经纪报价及数据展示'],['经纪商仅能按照交易机构委托进行标识，不得自行标识。报价通常应当为实盘报价，任何机构不得利用报价扰乱市场交易秩序，不得在交易双方确...'],2.0,0.0020305114515787
2023-09-28,"['【金融街发布】上交所发布《上海证券交易所证券发行与承销规则适用指引第2号——发行承销违规行为监管（试行）》', '【金融街发布】外汇局：二季度我国外债规模有所下降 结构保持基本稳定', '【金融街发布】外汇局：上半年我国经常账户顺差10085亿元 资本和金融账户逆差8757亿元', '【金融街发布】证监会就《公开发行证券的公司信息披露编报规则第15号——财务报告的一般规定（2023年修订）》做修订说明', '【金融街发布】证监会就《公开发行证券的公司信息披露解释性公告第1号——非经常性损益（2023年修订）》做修订说明', '【金融街发布】外汇局：8月我国国际收支货物和服务贸易进出口规模40160亿元', '【金融街发布】粤港澳大湾区“跨境理财通”进一步优化 参与机构范围和合格投资产品范围双扩容', '【金融街发布】人民银行副行长张青松：要进一步营造健康生态 激发支付行业持续发展动力', '【金融街发布】金融监管总局发布《保险销售行为管理办法》']","['上海证券交易所28日发布《上海证券交易所证券发行与承销规则适用指引第2号——发行承销违规行为监管（试行）》，自发布之日起施行。', '王春英预计，未来我国外债规模将继续保持稳定。随着主要发达经济体货币政策紧缩接近尾声，相关外溢影响将有所缓和。我国经济韧性强、潜力大...', '国家外汇管理局28日发布的数据显示，2023年二季度，我国经常账户顺差4510亿元，资本和金融账户逆差3536亿元；2023年上半年，我国经常账户顺差10085亿元，资本和金融账户逆差8757亿元。', '证监会在《财务报告的一般规定》的修订说明中指出，现行部分规定执行中判断空间较大、披露模板化问题较为突出、与其他监管规则的协调衔接有...', '本次修订内容主要包括：新增3项非经常性损益判断原则，明确实际执行中存在争议的问题，以及完善政府补助、金融资产、股份支付相关非经常性...', '国家外汇管理局28日公布的数据显示，2023年8月，我国国际收支货物和服务贸易进出口规模40160亿元。按美元计值，2023年8月，我国国际收支货...', '优化投资者准入条件，支持更多大湾区居民参与试点。扩大参与机构范围。扩大“南向通”“北向通”合格投资产品范围。适当提高个人投资者额度。', '张青松指出，大型商业银行、头部支付机构要发挥“头雁”作用，致力成为合规发展、示范引领、行业尊重、具有国际竞争力的标杆企业。支付机构要强...', '《销售办法》共6章50条，将保险销售行为分为保险销售前行为、保险销售中行为和保险销售后行为三个阶段，区分不同阶段特点，分别加以规制。']",5.0,0.002124166654695
2023-10-10,[],[],7.0,0.0021692754793525
2023-01-20,['【金融街发布】央行：2022年债券市场共发行各类债券61.9万亿元'],['2022年，债券市场共发行各类债券61.9万亿元，同比基本持平。其中银行间债券市场发行债券56.0万亿元，同比增长5.4%，交易所市场发行5.8万亿...'],13.0,0.0022413974389538
2023-07-25,['【金融街发布】交易商协会：加强信用风险缓释工具创新产品应用和市场培育'],['2023年上半年，信用风险缓释工具交易名义本金共计310亿元，同比增长26%。其中，信用风险缓释凭证创设201亿元，同比增长47%，累计支持306亿元...'],14.0,0.0022441992263899
2023-08-10,['【金融街发布】上交所、深交所加快推出“交易端”系列举措 激发市场活力'],['研究将深市上市股票、基金等证券的申报数量要求由100股（份）的整数倍调整为100股（份）起、以1股（份）递增；研究ETF引入盘后固定价格交易机制...'],15.0,0.0022480821464581
2023-08-15,['【金融街发布】人民银行：常备借贷便利利率下调10个基点'],['人民银行调整常备借贷便利利率，隔夜期下调10个基点至2.65%，7天期下调10个基点至2.80%，1个月期下调10个基点至3.15%。'],24.0,0.0023427724584522
2023-11-27,"['【金融街发布】人民银行：推动金融稳定法尽快出台', '【金融街发布】八部门：主动做好民营企业资金接续服务 不盲目停贷、压贷、抽贷、断贷']","['报告表示，健全金融稳定保障体系，推动金融稳定法尽快出台。充分发挥存款保险风险处置功能，健全市场化、法治化、常态化处置机制。', '《通知》强调要从民营企业融资需求特点出发，着力畅通信贷、债券、股权等多元化融资渠道。银行业金融机构要加大首贷、信用贷支持力度，积极开展产业链供应链金融服务，主动做好民营企业资金接续服务，不盲目停贷、压贷、抽贷、断...']",25.0,0.0023513026128877
2023-07-10,[],[],31.0,0.002388518078128
2023-06-05,['【金融街发布】商务部：合理缩减外资准入负面清单 进一步取消或放宽外资准入限制'],['商务部市场体系建设司司长周强表示，将合理缩减外资准入负面清单，进一步取消或放宽外资准入限制。'],36.0,0.0024090856009577
