date,position,loss_ratio,description
2023-09-12,2.0,0.0020305114515787,央行发布货币政策季度报告，讨论信贷投放和货币市场情况。
2023-09-28,5.0,0.002124166654695,证监会推出新的资本市场改革举措，鼓励科技企业上市。
2023-10-10,7.0,0.0021692754793525,央行召开货币政策委员会会议，讨论未来的货币政策和利率调整。
2023-01-20,13.0,0.0022413974389538,国家发改委召开会议，部署2023年基础设施投资计划。
2023-07-25,14.0,0.0022441992263899,证监会推动资本市场改革，促进企业上市融资。
2023-08-10,15.0,0.0022480821464581,央行召开货币政策委员会会议，讨论未来利率政策及流动性管理。
2023-08-15,24.0,0.0023427724584522,国务院召开会议，部署新一轮的减税降费政策以刺激经济。
2023-11-27,25.0,0.0023513026128877,国家统计局发布10月份和11月份的经济数据，分析消费和投资变化。
2023-07-10,31.0,0.002388518078128,央行发布6月份金融统计数据，显示信贷投放情况。
2023-06-05,36.0,0.0024090856009577,国家统计局发布5月份制造业和非制造业PMI，显示经济增长趋稳。
2023-03-01,38.0,0.0024141135952117,全国两会召开，讨论2023年经济和社会发展计划。
2023-11-17,41.0,0.0024254721722805,国家发改委发布关于推动绿色能源发展的政策文件。
2023-08-01,47.0,0.002466262385358,中国政府发布关于促进智能制造和数字化转型的指导意见。
2023-09-18,48.0,0.0024684943780852,国务院召开会议，部署促进绿色经济和可持续发展的新措施。
2023-01-10,54.0,0.002494464125568,央行召开会议，宣布继续实施稳健的货币政策，支持经济复苏。
2023-02-10,60.0,0.002520952370733,央行召开货币政策委员会会议，强调保持流动性合理充裕。
2023-01-05,65.0,0.0025544058195257,国家统计局发布2022年经济数据，GDP增速放缓至3%。
2023-02-15,68.0,0.0025669413285227,国务院发布关于促进数字经济发展的行动计划，推动创新。
2023-01-30,72.0,0.0025782973058003,国家统计局发布1月份制造业PMI数据，显示经济回暖趋势。
2023-03-15,78.0,0.0026266776798742,央行发布2022年金融稳定报告，评估金融系统风险与挑战。
2023-04-12,83.0,0.0026417771672527,央行召开货币政策委员会会议，决定维持利率不变，支持经济复苏。
2023-02-20,89.0,0.0026487612157258,国家发改委召开会议，部署2023年重点项目投资方向。
2023-12-01,90.0,0.0026552090695996,国家统计局发布11月份制造业和非制造业PMI，分析经济趋势。
2023-10-20,94.0,0.0026800679741092,国家发改委召开会议，部署基础设施建设和投资项目。
2023-04-07,100.0,0.0027166561729181,国家统计局发布3月份制造业和非制造业PMI，显示经济复苏势头。
